scenario_id,violation_type,expert1_vt,expert2_vt,expert3_vt,majority_vt,expert1_ab,expert2_ab,expert3_ab,majority_ab,expert1_rr,expert2_rr,expert3_rr,majority_rr
NHTSA_INA_0001,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0002,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect
NHTSA_INA_0003,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0004,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0005,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0006,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0007,Inattention to the road ahead,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_INA_0008,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0009,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0010,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0011,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0012,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0013,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0014,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,correct,correct
NHTSA_INA_0015,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0016,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0017,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0018,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0019,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0020,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0021,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_INA_0022,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0023,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0024,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0025,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0026,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0027,Inattention to the road ahead,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0028,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0029,Inattention to the road ahead,correct,correct,correct,correct,partial,partial,correct,partial,correct,correct,correct,correct
NHTSA_INA_0030,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0031,Inattention to the road ahead,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct
NHTSA_INA_0032,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0033,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,partial,correct,correct,correct
NHTSA_INA_0034,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_INA_0035,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0036,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0037,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0038,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0039,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0040,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0041,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0042,Inattention to the road ahead,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0043,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0044,Inattention to the road ahead,correct,correct,correct,correct,partial,partial,partial,partial,partial,partial,partial,partial
NHTSA_INA_0045,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0046,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0047,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0048,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0049,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_INA_0050,Inattention to the road ahead,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0001,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0002,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FTY_0003,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0004,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0005,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0006,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0007,Failure to yield,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0008,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0009,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0010,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect
NHTSA_FTY_0011,Failure to yield,correct,correct,correct,correct,correct,partial,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0012,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0013,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0014,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0015,Failure to yield,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FTY_0016,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0017,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0018,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0019,Failure to yield,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FTY_0020,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0021,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0022,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FTY_0023,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0024,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,partial,incorrect
NHTSA_FTY_0025,Failure to yield,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0026,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0027,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0028,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0029,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0030,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0031,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0032,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0033,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0034,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0035,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0036,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0037,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0038,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0039,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0040,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0041,Failure to yield,correct,correct,correct,correct,partial,partial,partial,partial,correct,correct,correct,correct
NHTSA_FTY_0042,Failure to yield,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FTY_0043,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0044,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0045,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0046,Failure to yield,correct,correct,correct,correct,partial,partial,partial,partial,correct,partial,correct,correct
NHTSA_FTY_0047,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_FTY_0048,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0049,Failure to yield,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_FTY_0050,Failure to yield,correct,correct,correct,correct,incorrect,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0001,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0002,Speeding,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,correct,correct,correct,correct
NHTSA_SPD_0003,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0004,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0005,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0006,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0007,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0008,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0009,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
NHTSA_SPD_0010,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0011,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0012,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
NHTSA_SPD_0013,Speeding,correct,correct,correct,correct,correct,correct,correct,correct,partial,partial,partial,partial
