scenario_id,method,violation_type,source,difficulty,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
NHTSA_INA_0001,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0002,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0003,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0004,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0005,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0006,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0007,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0008,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0009,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0010,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0011,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0012,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0013,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0014,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0015,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0016,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0017,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0018,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0019,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0020,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0021,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0022,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0023,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0024,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0025,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0026,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0027,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0028,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0029,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0030,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0031,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0032,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0033,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0034,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0035,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,0,1,1,0,1,1,1,1,0,0.8
NHTSA_INA_0036,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0037,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0038,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0039,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0040,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0041,RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,1,1,1,1,1,1,1,1,1,1,1,1
