scenario_id,configuration,violation_type,source,difficulty,expansion_mode,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
NHTSA_INA_0592,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,fallback,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0180,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0013,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,normal,1,0,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0196,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0320,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0228,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0542,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0102,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0058,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0295,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0231,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0569,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0109,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0271,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_INA_0409,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
