batch,scenario_id,violation_type,source,difficulty,pre_execution_abort,attempted,post_attempt_execution_failure,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
1,NHTSA_INA_0615,Inattention to the road ahead,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_INA_0206,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0.72
1,NHTSA_INA_0331,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0146,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0170,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,NHTSA_INA_0409,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0168,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,1,0,0,0,,,,,,,,,
1,NHTSA_INA_0316,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0162,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0240,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0270,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0.44
1,NHTSA_INA_0358,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0104,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,1,0,0,0,,,,,,,,,
1,SYNTH_INA_0139,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0168,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0081,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0144,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0340,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0218,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0482,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0019,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0452,Inattention to the road ahead,NHTSA-derived,coarse,0,1,1,0,0,0,,,,,,,,,
1,NHTSA_INA_0463,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0117,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_INA_0323,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0003,Inattention to the road ahead,NHTSA-derived,fine,0,1,1,0,0,1,,,,,,,,,
1,SYNTH_INA_0199,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0192,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0074,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0431,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0020,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0509,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0046,Inattention to the road ahead,NHTSA-derived,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0229,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0348,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0.26
1,SYNTH_INA_0112,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0144,Inattention to the road ahead,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_INA_0305,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0579,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0139,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0219,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0115,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,SYNTH_INA_0123,Inattention to the road ahead,synthetic-topology-extension,fine,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0220,Inattention to the road ahead,NHTSA-derived,coarse,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,NHTSA_INA_0097,Inattention to the road ahead,NHTSA-derived,coarse,0,1,1,0,0,1,,,,,,,,,
1,NHTSA_INA_0031,Inattention to the road ahead,NHTSA-derived,fine,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
